texts,tags
ผมรักแฟนผมมากและอยากอยู่กับคนนี้ แต่งงานกับคนนี้ตลอดไป,pos
การมีความรักทำให้เราหันมาดูแลตัวเองมากขึ้น หรือทำให้ตัวเองเปลี่ยนไปในทางที่ดีขึ้น คิดว่ามันเป็นสิ่งที่ดี ถึงแม้ว่าบางครั้งความรักอาจจะทำให้เราต้องเศร้าหรือทุกข์ใจ แต่ความสุขที่ได้รับก็มีมากกว่า และก็คิดว่าความรักนั้นทำให้เราโตขึ้นรวมถึงได้เห็นตัวเองในหลายๆด้านอีกด้วย,pos
หากว่าวันนี้เธอยังอยู่ข้างๆกัน ใจของฉันก็คงดีใจกว่านี้ หากว่าวันนี้เธอยังคงกอดฉัน ใจของฉันก็คงไม่ต้องร้องไห้แบบนี้ หากวันนี้เรายังรักกัน ฉันก็คงจะดีใจมากเลย,neg
ถ้าเธออยู่กับฉันในตอนนี้ ก็คงจะดี,neg
ฉันเป็นแค่คนๆนึง ที่แอบรักเธอไปวันๆ,neg
ถ้าคำว่ารักของเรา มีความหมายเหมือนกันก็คงจะดี,neg
ฉันเคยสงสัยว่าคนๆนึงจะรักใครสักคนได้มากแค่ไหน แต่วันนี้ฉันหายสงสัยแล้ว เพราะฉันเข้าใจเมื่อได้รักเธอ,pos
ฉันเคยสงสัยว่า คนเราจะรักอะไรสักอย่างได้มากแค่ไหน แต่เมื่อฉันเจอเธอฉันก็หายสงสัยทันที เพราะฉันรักเธอมากๆๆๆๆๆ,pos
แฟนหนูแม่งเหี้ย แม่งทิ้งหนู,neg
เมื่อไหร่จะเจอรักดีดีสักที,neg
เมื่อไหร่จะเจอรักดีๆสักที,neg
เมื่อไหร่หนูจะเจอรักดีดีสักที,neg
เมื่อไหร่หนูจะเจอรักดีๆสักที,neg
โดนเท,neg
โดนทิ้ง,neg
เขามีคนใหม่,neg
มีคนใหม่,neg
มีกิ้ก,neg
กิ้ก,neg
รักกันบ้างได้มั้ย ฉันวิ่งตามเธอจนเหนื่อยแล้ว,neg
รักกันบ้างได้มั้ย,neg
วิ่งตามมันเหนื่อนนะ,neg
วิ่งตามจนเหนื่อยแล้ว,neg
ฉันแอบมองเธออยู่ทุกวัน เพราะฉันชอบเธอมากๆแต่ไม่กล้าเข้าไปคุยกับเธอสักที จนวันนี้ในที่สุดเราก็ได้คุยกัน มันรู้สึกดีมากๆเลย ต่อไปนี้ฉันจะกล้าแสดงออก และจะคุยกับเธอทุกๆวัน เพราะเธอเป็นคนที่ฉันชอบ,pos
มันรู้สึกดีมากๆเลย,pos
จะคุยกับเธอทุกๆวัน,pos
เธอเป็นคนที่ฉันชอบ,pos
เขาเลิกกันแฟนเก่าเพื่อมาหาเราเหมือนเราเป็นชู้,neg
เหนื่อยแค่ไหนก็ทำได้แค่ยิ้มจริงๆว่ะ,neg
การไปเป็นมือที่ 3 ของใคร มันไม่ใช่ความสุขจริง ๆ หรอกเว้ย มันแค่อารมณ์ชั่ววูบซึ่งมันคือความผิดพลาด ที่พอรู้สึกตัวแล้วก็ควรถอยออกมา ไม่ใช่ตั้งใจหลงเข้าไปซึ่งหมายความว่าตั้งใจผิดพลาดต่อไป,neg
พี่ข้างบ้านชอบตั้งแต่ประถม จนตอนนี้ก้อยังชอบ เหนกี่ครั้งยิ้มให้ละลายนะค่ะพี่!!!!,pos
ไม่อยากเอาตัวเองไปเปรียบเทียบหรอกนะ แต่ทุกครั้งที่เห็นคนๆนั้น อยู่ๆมันเจ็บจี๊ดที่หัวใจ,neg
ถ้าาจะเป๊ะขนาดนี้เป็นแฟนกันป่ะ,pos
มีโมเม้นท์แฟนติวสอบให้เหมือนกันนะ แต่ติววอลเลย์พื้นฐานให้(ซ้อมในม.เกษตร)เพราะต้องสอบแล้วอ่อนกีฬาขั้นรุนแรงอย่างน่าอนาถใจ,neg
:3,pos
☺️,pos
🤤,pos
🤪,pos
😁,pos
😄,pos
😊,pos
😋,pos
😍,pos
😘,pos
😝,pos
😳,pos
🙂,pos
เช,pos
ดิ,pos
ปะ,pos
พน,pos
Goๆ,pos
ครบ,pos
ค้ะ,pos
จอง,pos
จัด,pos
ชอบ,pos
ถึง,pos
ป้ะ,pos
ป๊ะ,pos
ปะๆ,pos
ไป!,pos
ไปๆ,pos
มาก,pos
เย่,pos
เยป,pos
อูย,pos
🎉🎉,pos
👌🏼,pos
👍👍,pos
🤤🤤,pos
🤩🤩,pos
😁😁,pos
😄😄,pos
😋🍜,pos
😋😋,pos
😍😍,pos
😎🤔,pos
Go!!,pos
Want,pos
กินๆ,pos
เครๆ,pos
งั่ม,pos
ง้ำๆ,pos
จ้ะ.,pos
จะรอ,pos
จัดๆ,pos
จ๊าบ,pos
แดกก,pos
ได้ๆ,pos
เทอๆ,pos
ปร้ะ,pos
ป่ะ​,pos
ป่ะๆ,pos
ป้ะๆ,pos
ป๊ะๆ,pos
ปะๆๆ,pos
ปะ55,pos
ปะคะ,pos
ป่ะะ,pos
ปายย,pos
ไปๆ/,pos
ไปๆๆ,pos
ไปคะ,pos
ไปปป,pos
ไปปะ,pos
ไปรึ,pos
พนนะ,pos
พนมะ,pos
ยะลา,pos
เยๆๆ,pos
รอๆๆ,pos
รอไป,pos
รอยุ,pos
ว้าว,pos
สุ้ๆ,pos
หิวๆ,pos
อบาก,pos
อิอิ,pos
อุ่น,pos
เอาๆ,pos
กินๆๆ,pos
กิน55,pos
ครูขา,pos
ควรคะ,pos
ควรไป,pos
จะกิน,pos
จัดๆๆ,pos
จัดดด,pos
จัดดิ,pos
จัดไป,pos
จัดมา,pos
เจ๋งๆ,pos
ชอบอะ,pos
ดูเด้,pos
แดกกก,pos
ได้ !,pos
ตำๆๆๆ,pos
ถูกใจ,pos
น่าสน,pos
นี้นะ,pos
โนนนน,pos
บอกไร,pos
ปะ 55,pos
ป่ะ😋,pos
ป๊ะๆๆ,pos
ป่ะสู,pos
ป่ะะะ,pos
ไปๆๆๆ,pos
ไป2คน,pos
ไปกัน,pos
ไปค่ะ,pos
ไปดิๆ,pos
ไปปปป,pos
ไปโลด,pos
ไปสี้,pos
ไปหรอ,pos
ไปไหน,pos
พร้อม,pos
พลีส.,pos
พลีสส,pos
พาไปๆ,pos
มาาาา,pos
ไม่ !,pos
ยืดดด,pos
รอคับ,pos
รอนะ❤,pos
เรสโก,pos
ไรนี้,pos
ลองๆๆ,pos
ลาเลย,pos
ลุย!!,pos
ว้าวว,pos
สนๆๆๆ,pos
สนบ่ๆ,pos
สนม่ะ,pos
